campaign_id,campaign_name,planned_daily,allocated_daily,fulfillment_pct,confidence
7949,2015665_KM_Zoho - IFE - 2025/2026_Display_HD,16190.48,3522.1,21.75,Low
7963,2109922_KM_Saily March - December 2026_Display_SD,39160.68,9089.75,23.21,Low
7305,2015665_KM_Zoho - IFE - 2025/2026_Display_SD,16190.48,8045.85,49.69,Low
8085,2109922_KM_Saily March - December 2026_Display_HD,39160.68,38223.39,97.61,High
2336,connect to wifi static Star Gallery - B - Nov 2023,0.0,0.0,100.0,High
6535,1780835_UA_ALWAYS ON HOUSE CAMPAIGN 2025 (IFE)_Display,0.0,0.0,100.0,High
7812,EX3_IB_BN_Luau Kalamaku4_Feb2026,0.0,0.0,100.0,High
7051,1957782_MP_Airalo_MP Kinective Extension_Display,0.0,0.0,100.0,High
6543,EX2_IB_BN_Royal Lahaina_Jun2025,0.0,0.0,100.0,High
6544,EX2_IB_BN_Royal Lahaina2_Jun2025,0.0,0.0,100.0,High
8081,2019891_KM_Monaco Tourism '26_Display_HD,4048.59,4048.6,100.0,High
4557,UA_Idents Evergreen_SD,0.0,0.0,100.0,High
6548,EX2_IB_BN_Royal Lahaina3_Jun2025,0.0,0.0,100.0,High
6549,EX2_IB_BN_Royal Lahaina4_Jun2025,0.0,0.0,100.0,High
6551,EX3_IB_BN_Royal Lahaina_Jun2025,0.0,0.0,100.0,High
6552,EX3_IB_BN_Royal Lahaina2_Jun2025,0.0,0.0,100.0,High
6553,EX3_IB_BN_Royal Lahaina3_Jun2025,0.0,0.0,100.0,High
6554,EX3_IB_BN_Royal Lahaina4_Jun2025,0.0,0.0,100.0,High
7577,December 2025 Interactive Update Banner Campaign - Microsite - Version 1,0.0,0.0,100.0,High
8091,2116508_CO_KEF Airport Coop_Q2'26_KEF_Display,8988.76,8988.76,100.0,High
8092,2040947_KM_DMO_Costa Rica Air Service_Q2'2026_Display_SD,8923.07,8923.07,100.0,High
8094,2023966_KM_Atlassian FY26 TWC 2H_Display_HD,19841.27,19841.27,100.0,High
8097,April 2026 Interactive Update Banner Campaign Atresplayer,0.0,0.0,100.0,High
8098,2101892_MP_Instacart Loyalty April-Sept 2026_Display,45872.51,45872.51,100.0,High
8105,New Cabin YCL Prime,0.0,0.0,100.0,High
5034,HAL_Summer_Club_eX3,0.0,0.0,100.0,High
2987,Air Canada MMB Aug22 banner campaign CD,0.0,0.0,100.0,High
8107,New Cabin YCL Prime media grid,0.0,0.0,100.0,High
8070,Deloitte Apr26 LiveTV Hero banner campaign Astrova,0.0,0.0,100.0,High
2335,connect to wifi click-thru Star Gallery - B - March 2022,0.0,0.0,100.0,High
8069,Pepsi Apr26 F&B banner campaign Astrova,0.0,0.0,100.0,High
8067,Pepsi Apr26 F&B banner campaign CD,0.0,0.0,100.0,High
6451,Air Canada Wi-Fi May25 banner campaign CD,0.0,0.0,100.0,High
7999,Segur Estates - Campanha GIG - 1MAR to 15MAI,0.0,0.0,100.0,High
8001,2023966_KM_Atlassian FY26 TWC 2H_Display_SD,19841.27,19841.26,100.0,High
6472,HAL_70K_promo_eX3,0.0,0.0,100.0,High
5450,Digital_Hemi_SJU,0.0,0.0,100.0,High
5451,Digital_Hemi_PDX,0.0,0.0,100.0,High
5452,Digital_Hemi_HNL,0.0,0.0,100.0,High
5453,Digital_Hemi_NYC,0.0,0.0,100.0,High
5454,Digital_Hemi_MIA,0.0,0.0,100.0,High
5455,Digital_Hemi_DUB,0.0,0.0,100.0,High
5456,Digital_Hemi_DEN,0.0,0.0,100.0,High
5457,Digital_Hemi_SJO,0.0,0.0,100.0,High
5458,Digital_Hemi_ORD,0.0,0.0,100.0,High
5459,Digital_Hemi_ANC,0.0,0.0,100.0,High
5460,Digital_Hemi_Generic,0.0,0.0,100.0,High
6484,HAL_70K_promo_eX2,0.0,0.0,100.0,High
8041,2099356_KM_Miles Partnership_Visit Reno_Q2'26_Display_SD,0.0,0.0,100.0,High
7020,MP Pause Ad_Evergreen_V2,0.0,0.0,100.0,High
8045,2081228_KM_Starlink Residential & Roam 2026_Display_SD,19396.55,19396.55,100.0,High
7534,TKPAY - I - Screensaver - December 2025 - Tur & Eng,0.0,0.0,100.0,High
8049,UA_Viator_Promo_Display,0.0,0.0,100.0,High
7537,Turkish Holidays - I - Screensaver - December 2025 - English,0.0,0.0,100.0,High
5495,787 Leihoku Suite Tutorial Interstitial Video,0.0,0.0,100.0,High
8063,AIX 2026,0.0,0.0,100.0,High
8064,Chase AE Apr26 Banner Campaign,0.0,0.0,100.0,High
5037,HAL_Summer_Club_eX2,0.0,0.0,100.0,High
8068,Deloitte May26 LiveTV Hero banner campaign CD,0.0,0.0,100.0,High
8192,NEXT_2604_TEST_DividerShort_Left_2,0.0,0.0,100.0,High
8110,New Software Test Campaign,0.0,0.0,100.0,High
6106,Notification Center_Display Evergreen,0.0,0.0,100.0,High
8151,2081228_KM_Starlink Residential & Roam 2026_Display_HD,19396.55,19396.58,100.0,High
8154,2099356_KM_Miles Partnership_Visit Reno_Q2'26_Display_HD,0.0,0.0,100.0,High
8155,2086401_KM_Dyson 2Q26_Display_SD,75973.41,75973.41,100.0,High
8157,2101841_KM_TCCC_Minute Maid_2026_Display,0.0,0.0,100.0,High
4573,Finnair Youradhere,0.0,0.0,100.0,High
7648,BoardingSlate_02_Slide1_2026,0.0,0.0,100.0,High
7649,BoardingSlate_03_Slide2_2026,0.0,0.0,100.0,High
7650,BoardingSlate_04_Slide3_2026,0.0,0.0,100.0,High
7651,BoardingSlate_05_Slide4_2026,0.0,0.0,100.0,High
7652,BoardingSlate_06_Slide5_2026,0.0,0.0,100.0,High
7653,BoardingSlate_07_Slide6_2026,0.0,0.0,100.0,High
8150,B777 + A321 banner 05 (May 2026),0.0,0.0,100.0,High
7654,BoardingSlate_08_Slide7_2026,0.0,0.0,100.0,High
8167,2040947_KM_DMO_Costa Rica Air Service_Q2'2026_Display_HD,8923.07,8923.07,100.0,High
7728,Flybus 2026,0.0,0.0,100.0,High
7729,Hotel KEF 2026,0.0,0.0,100.0,High
7730,LavaShow 2026,0.0,0.0,100.0,High
8173,2086691_KM_Canva B2B & Cannes 1H 2026_Display_HD,10582.06,10582.06,100.0,High
7731,Saltverk 2026,0.0,0.0,100.0,High
7157,EX2_IBOB_BN_AtmosRewards_Oct25,0.0,0.0,100.0,High
7732,Volcano Express 2026,0.0,0.0,100.0,High
8185,2117980_KM_DMO_Cayman Islands Summer 2026_GCM_Display_SD,8406.9,8406.91,100.0,High
8187,OCBC Bank Banner - Homepage,0.0,0.0,100.0,High
8188,NEXT_2604_TEST_DividerShort_Right_1,0.0,0.0,100.0,High
8189,NEXT_2604_TEST_LargeCard_3B,0.0,0.0,100.0,High
7655,BoardingSlate_09_Slide8_2026,0.0,0.0,100.0,High
8108,RIR 2026,0.0,0.0,100.0,High
6616,1905804_Spotify_Project Lime Media_2025/26_Display,25462.96,25462.96,100.0,High
8147,Complimentary_&_Limitless Internet - I - Screensavers - April 2026 -  TR & EN,0.0,0.0,100.0,High
8116,NEXT_2605_IS_F_CHANEL,0.0,0.0,100.0,High
8117,NEXT_2605_IS_C_Mkmt+UMT,0.0,0.0,100.0,High
8118,NEXT_2605_IS_PY_Mkmt,0.0,0.0,100.0,High
8119,NEXT_2605_IS_Y_Mkmt,0.0,0.0,100.0,High
8122,2122783_KM_The Mountain Collective_Display,19021.74,19021.74,100.0,High
7611,Audible Banners 2026,0.0,0.0,100.0,High
8123,2086691_KM_Canva B2B & Cannes 1H 2026_Display_SD,10582.06,10582.06,100.0,High
8131,eX3_OM_2605_IS_FJ,0.0,0.0,100.0,High
8132,eX3_OM_2605_IS_Y,0.0,0.0,100.0,High
8133,eX3_OM_2605_kumamon1,0.0,0.0,100.0,High
8134,eX3_OM_2605_drink_JP,0.0,0.0,100.0,High
8135,eX3_OM_2605_drink_NoJP,0.0,0.0,100.0,High
8149,A350 New GUI banner 05 (May 2026),0.0,0.0,100.0,High
8136,eX3_OM_2605_kumamon2,0.0,0.0,100.0,High
8138,eX3_OM_2605_kumamon4,0.0,0.0,100.0,High
8139,eX3_OM_2605_kumamon5,0.0,0.0,100.0,High
8140,eX3_OM_2605_kumamon6,0.0,0.0,100.0,High
8141,eX3_OM_2605_kumamon7,0.0,0.0,100.0,High
8142,eX3_OM_2605_kumamon8,0.0,0.0,100.0,High
8143,eX3_OM_2605_kumamon9,0.0,0.0,100.0,High
7632,NEXT_2601_BN_MOV_WiFi,0.0,0.0,100.0,High
7633,NEXT_2601_BN_TV_Wifi,0.0,0.0,100.0,High
7634,NEXT_2601_BN_AUD_Wifi,0.0,0.0,100.0,High
8146,eX3_OM_2605_IS_FJ_v2,0.0,0.0,100.0,High
8144,eX3_OM_2605_kumamon10,0.0,0.0,100.0,High
8145,eX3_OM_2605_popup_UNEXT,0.0,0.0,100.0,High
8137,eX3_OM_2605_kumamon3,0.0,0.0,100.0,High
8109,RIR 2026 Video,0.0,0.0,100.0,High
7955,2019891_KM_Monaco Tourism '26_Display_SD,4048.59,4048.59,100.0,High
8190,NEXT_2604_TEST_DividerShort_Left_1,0.0,0.0,100.0,High
7220,Göbeklitepe - Şanlıurfa - I - Screensaver - October 2025,0.0,0.0,100.0,High
7221,Kapadokya - Nevşehir - I - Screensaver - October 2025,0.0,0.0,100.0,High
8243,2036350_KM_Airwallex 2026_Display_SD,23185.48,23185.48,100.0,High
7223,Kız Kulesi - İstanbul - I - Screensaver - October 2025,0.0,0.0,100.0,High
7224,Miles & Smiles Yeni Üyelik - I - Screensaver - October 2025 - Tur & Eng,0.0,0.0,100.0,High
8245,2144059_MP_Avis - Q2 Media - 2026_Display,114035.09,114035.1,100.0,High
7226,Nemrut - Adıyaman - I - Screensaver - October 2025,0.0,0.0,100.0,High
7227,Pamukkale - Denizli - I - Screensaver - October 2025,0.0,0.0,100.0,High
8246,2086401_KM_Dyson 2Q26_Display_HD,75973.41,75973.41,100.0,High
7229,The Oldest Bread - I - Screensaver - October 2025 - Tur & Eng,0.0,0.0,100.0,High
8254,Ident: SV0526 Saudia x Adidas Ad,0.0,0.0,100.0,High
8250,2117980_KM_DMO_Cayman Islands Summer 2026_GCM_Display_HD,8406.9,8406.9,100.0,High
7740,AC Bell Fee WiFi Jan26 banner campaign Astrova,0.0,0.0,100.0,High
7741,AC Bell Fee Texting Jan26 banner campaign Astrova,0.0,0.0,100.0,High
7234,EX2_IBOB_BN_AtmosCC_Oct25,0.0,0.0,100.0,High
7742,AC Manage Your Booking Jan26 banner campaign Astrova,0.0,0.0,100.0,High
7749,NEXT_2602_BN_WS_Wifi,0.0,0.0,100.0,High
6217,Digital_Hemi_EWR,0.0,0.0,100.0,High
6218,Digital_Hemi_BNA,0.0,0.0,100.0,High
6219,Digital_Hemi_DCA,0.0,0.0,100.0,High
6220,Digital_Hemi_IAD,0.0,0.0,100.0,High
6221,Digital_Hemi_LAS,0.0,0.0,100.0,High
6222,Digital_Hemi_MSY,0.0,0.0,100.0,High
6223,Digital_Hemi_NAS,0.0,0.0,100.0,High
6224,Digital_Hemi_OGG,0.0,0.0,100.0,High
7219,Efes - İzmir - I - Screensaver - October 2025,0.0,0.0,100.0,High
7218,Ayasofya - İstanbul - I - Screensaver - October 2025,0.0,0.0,100.0,High
7217,Ani - Kars - I - Screensaver - October 2025,0.0,0.0,100.0,High
7727,Blue Lagoon 2026,0.0,0.0,100.0,High
8193,NEXT_2604_TEST_DividerLarge,0.0,0.0,100.0,High
8194,NEXT_2604_TEST_LargeCard_1,0.0,0.0,100.0,High
8195,NEXT_2604_TEST_LargeCard_3A,0.0,0.0,100.0,High
8196,NEXT_2604_TEST_LargeCard_2,0.0,0.0,100.0,High
4619,EX3_IB_BN_Bishop Museum1_Oct2023,0.0,0.0,100.0,High
4620,EX3_IB_BN_Polynesian Adventure1_Jun2023,0.0,0.0,100.0,High
7691,2075046_UA_ALWAYS ON HOUSE CAMPAIGN 2026 (IFE)_Display,0.0,0.0,100.0,High
8204,Deloitte May26 video interstitial campaign,0.0,0.0,100.0,High
7694,January 2026 Interactive Update Banner Campaign Holafly,0.0,0.0,100.0,High
6160,Miles&Smiles_Kredi Kartı - I - Screensaver - April 2025 - Turkish & English,0.0,0.0,100.0,High
8210,Simons May26 Entertainment Hero banner campaign,0.0,0.0,100.0,High
6675,Bell WIFI Texting Jun25 Banner Campaign,0.0,0.0,100.0,High
6225,Digital_Hemi_PHX,0.0,0.0,100.0,High
8211,Simons May26 Entertainment Hero banner campaign Astrova,0.0,0.0,100.0,High
3607,Internet Packages BC + YC - I - Screensavers - August 2023,0.0,0.0,100.0,High
8216,Ident: SV0526 PAC IFE Promo,0.0,0.0,100.0,High
7193,IFE_Starlink_Home_Zone1_2025,0.0,0.0,100.0,High
8217,2127469_KM_Navan 2026_Display,9247.35,9247.35,100.0,High
7195,MP Member Re-Engagement - Evergreen,0.0,0.0,100.0,High
7196,EX3_IBOB_BN_AtmosRewards_Oct25,0.0,0.0,100.0,High
7197,EX3_IBOB_BN_AtmosCC_Oct25,0.0,0.0,100.0,High
8219,2028756_MP_Illy 2026 Partnership Campaign_Display,86688.47,86688.46,100.0,High
8235,May 2026 Air Europa 40 Years History Microsite,0.0,0.0,100.0,High
7725,Bioeffect 2026,0.0,0.0,100.0,High
8238,Pasteis de Belem,0.0,0.0,100.0,High
7726,Perlan 2026,0.0,0.0,100.0,High
6677,Bell Free WIFI Jun25 Banner Campaign,0.0,0.0,100.0,High
6226,Digital_Hemi_TPA,0.0,0.0,100.0,High
8272,Odiyo Audio Book May- Aug,0.0,0.0,100.0,High
8274,Loyalty RBC,0.0,0.0,100.0,High
7846,NEXT_2603_BN_FTO_GBL,0.0,0.0,100.0,High
5287,787 Leihoku Suite Tutorial,0.0,0.0,100.0,High
7847,NEXT_2603_BN_DL_GBL,0.0,0.0,100.0,High
7342,Apex Best IFEC Awards - I - Screensaver - October 2025 - Tur & Eng,0.0,0.0,100.0,High
5807,EX3_IB_BN_Stix Asia2_Feb2025,0.0,0.0,100.0,High
5808,EX3_IB_BN_Polynesian Adventure3_Feb2025,0.0,0.0,100.0,High
5809,EX3_IB_BN_Polynesian Adventure4_Feb2025,0.0,0.0,100.0,High
7856,BoardingSlate_10_Slide9_2026,0.0,0.0,100.0,High
7857,BoardingSlate_11_Slide10_2026,0.0,0.0,100.0,High
4278,1780835_UA_ALWAYS ON_MileagePlus_MemberWIFI_Awareness_23-24,0.0,0.0,100.0,High
7869,TAWGC 2026 - I - Screensavers - February 2026 -  Tur & Eng,0.0,0.0,100.0,High
5831,1780835_UA_ALWAYS_A321Neo Wireless Charging_Display_Ongoing,0.0,0.0,100.0,High
7820,January 2026 Testing_All Zones,0.0,0.0,100.0,High
6859,EX3_OB_BN_Lawrys1_Aug 2025,0.0,0.0,100.0,High
6861,EX3_OB_BN_Lawrys3_Aug 2025,0.0,0.0,100.0,High
6862,EX3_OB_BN_Lawrys4_Aug 2025,0.0,0.0,100.0,High
6863,EX3_IB_BN_Chandelier Holdings1_Aug2025,0.0,0.0,100.0,High
6864,EX3_IB_BN_Chandelier Holdings2_Aug2025,0.0,0.0,100.0,High
7910,2077450_CO_Co-Op Glasgow Airport_Display,11088.01,11088.02,100.0,High
7938,BMM Q2_2026,0.0,0.0,100.0,High
6915,MP Member Enrollment_Rich Media - Evergreen,0.0,0.0,100.0,High
6916,Recent Searches_Rich Media - Evergreen,0.0,0.0,100.0,High
6917,Seat Upgrades_Rich Media - Evergreen,0.0,0.0,100.0,High
7942,Blue Lagoon Skin Science Moving Map 2026,0.0,0.0,100.0,High
4361,MileagePlus_Non-Member_Enrollment_Awareness_Jan'24,0.0,0.0,100.0,High
3853,eX3 Infinity MileageLands static - B - Sept 2023,0.0,0.0,100.0,High
6860,EX3_OB_BN_Lawrys2_Aug 2025,0.0,0.0,100.0,High
7959,March 2026 WiFi PanaSky Portal Banners,0.0,0.0,100.0,High
7309,Skytrax Voting - I - Screensaver - October 2025 - Tur & Eng,0.0,0.0,100.0,High
7811,EX3_IB_BN_Luau Kalamaku3_Feb2026,0.0,0.0,100.0,High
7762,1979913_KM_TN Dept Economic Dev FY26_Display,6983.65,6983.65,100.0,High
7778,Vodafone 2026 Interstitial,0.0,0.0,100.0,High
7779,Vodafone HPW 2026,0.0,0.0,100.0,High
7780,Vodafone IFE Banners 2026,0.0,0.0,100.0,High
5221,Limitless Messaging - BC + EC - I - Screensaver - October 2024,0.0,0.0,100.0,High
8293,Uber,0.0,0.0,100.0,High
3175,IFE Highlights - 2023-2024-2025-2026,0.0,0.0,100.0,High
7781,Vodafone Portal 2026,0.0,0.0,100.0,High
7785,Chase_Co-brand Card_Awareness_Spring 2026 85k,0.0,0.0,100.0,High
7786,February 2026 Interactive Update Banner Campaign Endel - Consideration to Click through Banner to Full Page,0.0,0.0,100.0,High
6254,MP Map FOP Evergreen,0.0,0.0,100.0,High
6255,MP Map Idle Full Screen Evergreen,0.0,0.0,100.0,High
4748,EX3_IB_BN_Stix Asia_Oct2024,0.0,0.0,100.0,High
6256,MP Map Ticker  Evergreen,0.0,0.0,100.0,High
6782,EX2_IB_BN_Chandelier Holdings1_Aug2025,0.0,0.0,100.0,High
6783,EX2_IB_BN_Chandelier Holdings2_Aug2025,0.0,0.0,100.0,High
6784,EX2_OB_BN_Lawrys1_Aug 2025,0.0,0.0,100.0,High
6785,EX2_OB_BN_Lawrys2_Aug 2025,0.0,0.0,100.0,High
7806,EX2_IB_BN_Luau Kalamaku3_Feb2026,0.0,0.0,100.0,High
6787,EX2_OB_BN_Lawrys3_Aug 2025,0.0,0.0,100.0,High
6788,EX2_OB_BN_Lawrys4_Aug 2025,0.0,0.0,100.0,High
7807,EX2_IB_BN_Luau Kalamaku4_Feb2026,0.0,0.0,100.0,High
7809,EX3_IB_BN_Luau Kalamaku1_Feb2026,0.0,0.0,100.0,High
5255,EX3_IB_BN_Bishop Museum2_Oct2023,0.0,0.0,100.0,High
5256,EX3_IB_BN_Polynesian Adventure2_Jun2023,0.0,0.0,100.0,High
7810,EX3_IB_BN_Luau Kalamaku2_Feb2026,0.0,0.0,100.0,High
7791,AC Apology Disclaimer Jan26 banner campaign Astrova,0.0,0.0,100.0,High
8191,NEXT_2604_TEST_DividerShort_Right_2,0.0,0.0,100.0,High
