campaign_id,campaign_name,revenue_type,goal_type,planned_daily_impressions,pacing_gap,time_urgency,zone_fit,contract_weight,goal_modifier,priority_score,queue_position
8246,2086401_KM_Dyson 2Q26_Display_HD,paid,consideration,75973.4074074074,20.0,20.0,20.0,20.0,20.0,100.0,1
8245,2144059_MP_Avis - Q2 Media - 2026_Display,paid,consideration,114035.08771929824,20.0,13.76,20.0,20.0,20.0,93.76,2
8250,2117980_KM_DMO_Cayman Islands Summer 2026_GCM_Display_HD,paid,consideration,8406.901639344262,20.0,13.31,20.0,20.0,20.0,93.31,3
8167,2040947_KM_DMO_Costa Rica Air Service_Q2'2026_Display_HD,paid,consideration,8923.066666666668,19.58,13.42,20.0,20.0,20.0,92.99,4
8219,2028756_MP_Illy 2026 Partnership Campaign_Display,paid,consideration,86688.46666666666,13.28,18.97,20.0,20.0,20.0,92.25,5
8155,2086401_KM_Dyson 2Q26_Display_SD,paid,consideration,75973.4074074074,11.99,20.0,20.0,20.0,20.0,91.99,6
8094,2023966_KM_Atlassian FY26 TWC 2H_Display_HD,paid,consideration,19841.27380952381,19.54,11.34,20.0,20.0,20.0,90.88,7
8173,2086691_KM_Canva B2B & Cannes 1H 2026_Display_HD,paid,consideration,10582.059523809525,19.11,11.34,20.0,20.0,20.0,90.45,8
8081,2019891_KM_Monaco Tourism '26_Display_HD,paid,consideration,4048.5855263157896,20.0,8.43,20.0,20.0,20.0,88.43,9
8243,2036350_KM_Airwallex 2026_Display_SD,paid,consideration,23185.483870967742,19.99,6.6,20.0,20.0,20.0,86.59,10
8085,2109922_KM_Saily March - December 2026_Display_HD,paid,consideration,39160.68196721312,19.87,5.95,20.0,20.0,20.0,85.82,11
8151,2081228_KM_Starlink Residential & Roam 2026_Display_HD,paid,consideration,19396.55172413793,19.56,6.1,20.0,20.0,20.0,85.66,12
7949,2015665_KM_Zoho - IFE - 2025/2026_Display_HD,paid,consideration,16190.475274725277,19.88,5.45,20.0,20.0,20.0,85.32,13
8122,2122783_KM_The Mountain Collective_Display,paid,consideration,19021.739130434784,0.0,15.32,20.0,20.0,20.0,75.32,14
8092,2040947_KM_DMO_Costa Rica Air Service_Q2'2026_Display_SD,paid,consideration,8923.066666666668,0.0,13.42,20.0,20.0,20.0,73.42,15
8185,2117980_KM_DMO_Cayman Islands Summer 2026_GCM_Display_SD,paid,consideration,8406.901639344262,0.0,13.31,20.0,20.0,20.0,73.31,16
7910,2077450_CO_Co-Op Glasgow Airport_Display,paid,consideration,11088.013513513511,0.0,12.08,20.0,20.0,20.0,72.08,17
8217,2127469_KM_Navan 2026_Display,paid,consideration,9247.346666666666,0.0,12.0,20.0,20.0,20.0,72.0,18
8001,2023966_KM_Atlassian FY26 TWC 2H_Display_SD,paid,consideration,19841.27380952381,0.0,11.34,20.0,20.0,20.0,71.34,19
8123,2086691_KM_Canva B2B & Cannes 1H 2026_Display_SD,paid,consideration,10582.059523809525,0.0,11.34,20.0,20.0,20.0,71.34,20
8091,2116508_CO_KEF Airport Coop_Q2'26_KEF_Display,paid,consideration,8988.76404494382,0.0,11.02,20.0,20.0,20.0,71.02,21
8154,2099356_KM_Miles Partnership_Visit Reno_Q2'26_Display_HD,paid,consideration,0.0,0.0,10.44,20.0,20.0,20.0,70.44,22
8041,2099356_KM_Miles Partnership_Visit Reno_Q2'26_Display_SD,paid,consideration,0.0,0.0,10.44,20.0,20.0,20.0,70.44,23
7811,EX3_IB_BN_Luau Kalamaku3_Feb2026,paid,consideration,0.0,0.0,9.53,20.0,20.0,20.0,69.53,24
7810,EX3_IB_BN_Luau Kalamaku2_Feb2026,paid,consideration,0.0,0.0,9.53,20.0,20.0,20.0,69.53,25
7809,EX3_IB_BN_Luau Kalamaku1_Feb2026,paid,consideration,0.0,0.0,9.53,20.0,20.0,20.0,69.53,26
7807,EX2_IB_BN_Luau Kalamaku4_Feb2026,paid,consideration,0.0,0.0,9.53,20.0,20.0,20.0,69.53,27
7806,EX2_IB_BN_Luau Kalamaku3_Feb2026,paid,consideration,0.0,0.0,9.53,20.0,20.0,20.0,69.53,28
7812,EX3_IB_BN_Luau Kalamaku4_Feb2026,paid,consideration,0.0,0.0,9.53,20.0,20.0,20.0,69.53,29
8157,2101841_KM_TCCC_Minute Maid_2026_Display,paid,consideration,0.0,0.0,8.57,20.0,20.0,20.0,68.57,30
7955,2019891_KM_Monaco Tourism '26_Display_SD,paid,consideration,4048.5855263157896,0.0,8.43,20.0,20.0,20.0,68.43,31
7762,1979913_KM_TN Dept Economic Dev FY26_Display,paid,consideration,6983.650602409639,0.0,8.07,20.0,20.0,20.0,68.07,32
8098,2101892_MP_Instacart Loyalty April-Sept 2026_Display,paid,consideration,45872.505494505494,0.0,7.7,20.0,20.0,20.0,67.7,33
8293,Uber,paid,awareness,0.0,0.0,10.89,20.0,20.0,16.67,67.56,34
8238,Pasteis de Belem,paid,consideration,0.0,0.0,6.65,20.0,20.0,20.0,66.65,35
8045,2081228_KM_Starlink Residential & Roam 2026_Display_SD,paid,consideration,19396.55172413793,0.0,6.1,20.0,20.0,20.0,66.1,36
8187,OCBC Bank Banner - Homepage,paid,awareness,0.0,0.0,9.41,20.0,20.0,16.67,66.08,37
7963,2109922_KM_Saily March - December 2026_Display_SD,paid,consideration,39160.68196721312,0.0,5.95,20.0,20.0,20.0,65.95,38
8143,eX3_OM_2605_kumamon9,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,39
8144,eX3_OM_2605_kumamon10,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,40
7633,NEXT_2601_BN_TV_Wifi,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,41
8145,eX3_OM_2605_popup_UNEXT,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,42
8141,eX3_OM_2605_kumamon7,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,43
8142,eX3_OM_2605_kumamon8,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,44
8134,eX3_OM_2605_drink_JP,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,45
8140,eX3_OM_2605_kumamon6,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,46
8138,eX3_OM_2605_kumamon4,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,47
8133,eX3_OM_2605_kumamon1,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,48
8139,eX3_OM_2605_kumamon5,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,49
8136,eX3_OM_2605_kumamon2,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,50
8137,eX3_OM_2605_kumamon3,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,51
8135,eX3_OM_2605_drink_NoJP,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,52
7634,NEXT_2601_BN_AUD_Wifi,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,53
7632,NEXT_2601_BN_MOV_WiFi,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,54
6549,EX2_IB_BN_Royal Lahaina4_Jun2025,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,55
6548,EX2_IB_BN_Royal Lahaina3_Jun2025,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,56
7305,2015665_KM_Zoho - IFE - 2025/2026_Display_SD,paid,consideration,16190.475274725277,0.0,5.45,20.0,20.0,20.0,65.45,57
6544,EX2_IB_BN_Royal Lahaina2_Jun2025,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,58
6551,EX3_IB_BN_Royal Lahaina_Jun2025,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,59
6543,EX2_IB_BN_Royal Lahaina_Jun2025,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,60
6552,EX3_IB_BN_Royal Lahaina2_Jun2025,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,61
6553,EX3_IB_BN_Royal Lahaina3_Jun2025,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,62
6554,EX3_IB_BN_Royal Lahaina4_Jun2025,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,63
7779,Vodafone HPW 2026,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,64
7781,Vodafone Portal 2026,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,65
7051,1957782_MP_Airalo_MP Kinective Extension_Display,paid,consideration,0.0,0.0,5.44,20.0,20.0,20.0,65.44,66
7999,Segur Estates - Campanha GIG - 1MAR to 15MAI,paid,awareness,0.0,0.0,8.43,20.0,20.0,16.67,65.1,67
6784,EX2_OB_BN_Lawrys1_Aug 2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,68
6862,EX3_OB_BN_Lawrys4_Aug 2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,69
6785,EX2_OB_BN_Lawrys2_Aug 2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,70
6787,EX2_OB_BN_Lawrys3_Aug 2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,71
6788,EX2_OB_BN_Lawrys4_Aug 2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,72
6864,EX3_IB_BN_Chandelier Holdings2_Aug2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,73
6782,EX2_IB_BN_Chandelier Holdings1_Aug2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,74
6863,EX3_IB_BN_Chandelier Holdings1_Aug2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,75
6861,EX3_OB_BN_Lawrys3_Aug 2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,76
6860,EX3_OB_BN_Lawrys2_Aug 2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,77
6859,EX3_OB_BN_Lawrys1_Aug 2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,78
6783,EX2_IB_BN_Chandelier Holdings2_Aug2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,79
5808,EX3_IB_BN_Polynesian Adventure3_Feb2025,paid,consideration,0.0,0.0,4.72,20.0,20.0,20.0,64.72,80
5809,EX3_IB_BN_Polynesian Adventure4_Feb2025,paid,consideration,0.0,0.0,4.72,20.0,20.0,20.0,64.72,81
5807,EX3_IB_BN_Stix Asia2_Feb2025,paid,consideration,0.0,0.0,4.72,20.0,20.0,20.0,64.72,82
4748,EX3_IB_BN_Stix Asia_Oct2024,paid,consideration,0.0,0.0,4.22,20.0,20.0,20.0,64.22,83
8108,RIR 2026,partner,consideration,0.0,0.0,10.83,20.0,13.33,20.0,64.17,84
8211,Simons May26 Entertainment Hero banner campaign Astrova,house,consideration,0.0,0.0,17.08,20.0,6.67,20.0,63.75,85
8210,Simons May26 Entertainment Hero banner campaign,house,consideration,0.0,0.0,17.08,20.0,6.67,20.0,63.75,86
4620,EX3_IB_BN_Polynesian Adventure1_Jun2023,paid,consideration,0.0,0.0,3.7,20.0,20.0,20.0,63.7,87
5256,EX3_IB_BN_Polynesian Adventure2_Jun2023,paid,consideration,0.0,0.0,3.7,20.0,20.0,20.0,63.7,88
4619,EX3_IB_BN_Bishop Museum1_Oct2023,paid,consideration,0.0,0.0,3.44,20.0,20.0,20.0,63.44,89
5255,EX3_IB_BN_Bishop Museum2_Oct2023,paid,consideration,0.0,0.0,3.44,20.0,20.0,20.0,63.44,90
8131,eX3_OM_2605_IS_FJ,house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,91
8119,NEXT_2605_IS_Y_Mkmt,house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,92
8118,NEXT_2605_IS_PY_Mkmt,house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,93
8132,eX3_OM_2605_IS_Y,house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,94
8146,eX3_OM_2605_IS_FJ_v2,house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,95
8216,Ident: SV0526 PAC IFE Promo,house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,96
8254,Ident: SV0526 Saudia x Adidas Ad,house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,97
8116,NEXT_2605_IS_F_CHANEL,house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,98
8117,NEXT_2605_IS_C_Mkmt+UMT,house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,99
8150,B777 + A321 banner 05 (May 2026),house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,100
8149,A350 New GUI banner 05 (May 2026),house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,101
7778,Vodafone 2026 Interstitial,paid,awareness,0.0,0.0,5.45,20.0,20.0,16.67,62.11,102
8204,Deloitte May26 video interstitial campaign,house,awareness,0.0,0.0,17.08,20.0,6.67,16.67,60.42,103
8195,NEXT_2604_TEST_LargeCard_3A,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,104
8063,AIX 2026,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,105
8188,NEXT_2604_TEST_DividerShort_Right_1,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,106
8196,NEXT_2604_TEST_LargeCard_2,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,107
8189,NEXT_2604_TEST_LargeCard_3B,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,108
8190,NEXT_2604_TEST_DividerShort_Left_1,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,109
8191,NEXT_2604_TEST_DividerShort_Right_2,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,110
8192,NEXT_2604_TEST_DividerShort_Left_2,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,111
8193,NEXT_2604_TEST_DividerLarge,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,112
8194,NEXT_2604_TEST_LargeCard_1,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,113
8064,Chase AE Apr26 Banner Campaign,house,consideration,0.0,0.0,12.7,20.0,6.67,20.0,59.36,114
6616,1905804_Spotify_Project Lime Media_2025/26_Display,partner,consideration,25462.963888888888,0.0,5.48,20.0,13.33,20.0,58.81,115
7780,Vodafone IFE Banners 2026,partner,consideration,0.0,0.0,5.45,20.0,13.33,20.0,58.78,116
